date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-09 09:30:00;64.1;2.0;29.8;2.0
2017-10-09 09:45:00;78.9;7.1;66.0;11.2
2017-10-09 10:00:00;66.5;0.0;32.5;6.1
2017-10-09 10:15:00;52.6;0.7;21.3;1.4
2017-10-09 10:30:00;52.0;0.0;28.4;0.0
2017-10-09 10:45:00;49.7;2.0;18.3;2.0
2017-10-09 11:00:00;47.6;0.0;19.3;0.0
2017-10-09 11:15:00;53.0;6.1;28.4;9.1
2017-10-09 11:30:00;42.5;0.0;12.2;3.0
2017-10-09 11:45:00;42.5;0.0;14.2;1.0
2017-10-09 12:00:00;20.4;0.0;0.0;0.0
2017-10-09 12:15:00;20.3;0.0;2.0;0.0
2017-10-09 12:30:00;11.1;0.0;0.0;0.0
2017-10-09 12:45:00;15.5;0.0;1.0;0.0
2017-10-09 13:00:00;18.4;0.0;5.4;0.0
2017-10-09 13:15:00;23.7;0.0;4.1;0.0
2017-10-09 13:30:00;17.2;0.0;2.0;0.0
2017-10-09 13:45:00;21.6;0.0;0.0;0.0
2017-10-09 14:00:00;14.6;0.0;2.0;0.0
2017-10-09 14:15:00;79.0;36.5;37.6;50.8
2017-10-09 14:30:00;69.7;15.2;55.8;38.6
2017-10-09 14:45:00;29.2;0.0;0.7;0.0
2017-10-09 15:00:00;31.5;0.0;0.0;0.0
2017-10-09 15:15:00;41.7;0.0;13.2;0.0
2017-10-09 15:30:00;34.5;0.0;3.0;0.0
2017-10-09 15:45:00;29.6;0.0;1.0;0.0
2017-10-09 16:00:00;36.3;0.0;12.2;0.0
2017-10-09 16:15:00;32.1;0.0;1.0;0.0
2017-10-09 16:30:00;40.5;0.0;8.8;0.0
2017-10-09 16:45:00;34.1;0.0;3.0;0.0
2017-10-09 17:00:00;35.9;0.0;4.1;0.0
2017-10-09 17:15:00;38.6;0.0;4.1;0.0
2017-10-09 17:30:00;38.7;0.0;8.1;0.0
2017-10-09 17:45:00;36.9;0.0;2.0;0.0
2017-10-09 18:00:00;40.7;0.0;6.1;0.0
2017-10-09 18:15:00;46.7;0.0;14.9;0.0
2017-10-09 18:30:00;49.7;0.0;18.3;2.0
2017-10-09 18:45:00;53.8;1.0;21.3;3.0
2017-10-09 19:00:00;36.3;0.0;4.1;0.0
2017-10-09 19:15:00;28.2;0.0;1.0;0.0
2017-10-09 19:30:00;30.5;0.0;3.0;0.0
2017-10-09 19:45:00;32.9;0.0;3.0;0.0
2017-10-09 20:00:00;18.6;0.0;0.7;0.0
2017-10-09 20:15:00;22.1;0.0;0.0;0.0
2017-10-09 20:30:00;34.7;0.0;3.0;0.0
2017-10-09 20:45:00;25.3;0.0;1.0;0.0
2017-10-09 21:00:00;17.3;0.0;0.0;0.0
2017-10-09 21:15:00;16.1;0.0;0.0;0.0
2017-10-09 21:30:00;21.6;0.0;1.0;0.0
2017-10-09 21:45:00;10.6;0.0;0.0;0.0
2017-10-09 22:00:00;17.6;0.0;0.0;0.0
2017-10-09 22:15:00;27.7;0.0;0.0;0.0
2017-10-09 22:30:00;23.7;0.0;0.0;0.0
2017-10-09 22:45:00;22.9;0.0;0.0;0.0
2017-10-09 23:00:00;27.3;0.0;0.0;0.0
2017-10-09 23:15:00;19.6;0.0;0.0;0.0
2017-10-09 23:30:00;14.0;0.0;0.0;0.0
2017-10-09 23:45:00;21.5;0.0;0.0;0.0
2017-10-10 00:00:00;10.5;0.0;0.0;0.0
2017-10-10 00:15:00;4.8;0.0;0.0;0.0
2017-10-10 00:30:00;8.5;0.0;0.0;0.0
2017-10-10 00:45:00;10.1;0.0;0.0;0.0
2017-10-10 01:00:00;5.9;0.0;0.0;0.0
2017-10-10 01:15:00;11.7;0.0;0.0;0.0
2017-10-10 01:30:00;26.1;0.0;0.0;0.0
2017-10-10 01:45:00;22.9;0.0;0.0;0.0
2017-10-10 02:00:00;18.5;0.0;0.0;0.0
2017-10-10 02:15:00;30.5;0.0;3.0;0.0
2017-10-10 02:30:00;32.2;0.0;1.0;0.0
2017-10-10 02:45:00;30.8;0.0;2.0;0.0
2017-10-10 03:00:00;30.0;0.0;2.7;0.0
2017-10-10 03:15:00;34.3;0.0;2.0;0.0
2017-10-10 03:30:00;29.8;0.0;1.0;0.0
